date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:26	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:26%20GMT	https://capitol-soft.com/lib/easing/easing.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/easing/easing.min.2d.delayed	(from https://capitol-soft.com/)
11:49:26	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:27%20GMT	https://capitol-soft.com/lib/wow/wow.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/wow/wow.min.2e.delayed	(from https://capitol-soft.com/)
11:49:27	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:28%20GMT	https://capitol-soft.com/lib/superfish/hoverIntent.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/superfish/hoverIntent.2f.delayed	(from https://capitol-soft.com/)
11:49:28	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:28%20GMT	https://capitol-soft.com/lib/superfish/superfish.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/superfish/superfish.min.30.delayed	(from https://capitol-soft.com/)
11:49:29	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:29%20GMT	https://capitol-soft.com/lib/magnific-popup/magnific-popup.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/magnific-popup/magnific-popup.min.31.delayed	(from https://capitol-soft.com/)
11:49:30	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:30%20GMT	https://capitol-soft.com/contactform/contactform.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/contactform/contactform.32.delayed	(from https://capitol-soft.com/)
11:49:30	3908/3908	---M--	200	added ('OK')	application/javascript	date:Wed,%2022%20Jan%202020%2018:50:37%20GMT	https://capitol-soft.com/js/main.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/js/main.js	(from https://capitol-soft.com/)
11:49:31	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:31%20GMT	https://capitol-soft.com/lib/animate/animate.min.css	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/animate/animate.min.html	(from https://capitol-soft.com/)
11:49:32	129737/129737	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:51:47%20GMT	https://capitol-soft.com/img/intro-bg.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/intro-bg.jpg	(from https://capitol-soft.com/css/style.css)
11:49:32	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:33%20GMT	https://capitol-soft.com/img/about-bg.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/about-bg.jpg	(from https://capitol-soft.com/css/style.css)
11:49:33	461458/461458	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:54:50%20GMT	https://capitol-soft.com/img/backmodule.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/backmodule.jpg	(from https://capitol-soft.com/css/style.css)
